Season,Player_Name,League_Moving_From,Club_Moving_From,League_Moving_To,Club_Moving_To,Fee,Date
2010-2011,Havard Nordtveit,Premier,Arsenal,NoneEPLChamp,Borussia Monchengladbach,500,0
2010-2011,Jelle van Damme,NoneEPLChamp,Wolverhampton Wan,NoneEPLChamp,Standard Liege,2500000,04/01/11
2010-2011,Liam Lawrence,Premier,Stoke City,Championship,Portsmouth,Undisclosed,04/01/11
2010-2011,Ryo Miyaichi,NoneEPLChamp,Chukyodai Chuyko HS,Premier,Arsenal,0,04/01/11
2010-2011,Yusuf Mersin,Championship,Millwall,Premier,Liverpool,450,0
2010-2011,Matthew Phillips,NoneEPLChamp,Wycombe Wanderers,Premier,Blackpool,325000,31/08/10
2010-2011,Martin Jiranek,NoneEPLChamp,Spartak Moscow,NoneEPLChamp,Birmingham,325000,31/08/10
2010-2011,Craig Dawson,NoneEPLChamp,Rochdale,Premier,West Bromwich Albion,1000000,31/08/10
2010-2011,Dudley Campbell,Championship,Leicester City,Premier,Blackpool,1500000,31/08/10
2010-2011,Franco Di Santo,Premier,Chelsea,Premier,Wigan Athletic,2000000,31/08/10
2010-2011,Martin Waghorn,Premier,Sunderland,Championship,Leicester City,3000000,31/08/10
2010-2011,Jean Beausejour,NoneEPLChamp,America,NoneEPLChamp,Birmingham,4000000,31/08/10
2010-2011,Rafael Van Der Vaart,NoneEPLChamp,Real Madrid,Premier,Tottenham Hotspur,8000000,31/08/10
2010-2011,Asamoah Gyan,NoneEPLChamp,Stade Rennes,Premier,Sunderland,13200000,31/08/10
2010-2011,Robinho,Premier,Manchester City,NoneEPLChamp,AC Milan,22000000,31/08/10
2010-2011,Salif Diao,NoneEPLChamp,Unattached,Premier,Stoke City,Free,31/08/10
2010-2011,Suso,NoneEPLChamp,Cadiz,Premier,Liverpool,Signed,31/08/10
2010-2011,Alexander Kacaniklic,Premier,Liverpool,Premier,Fulham,Swap,31/08/10
2010-2011,Lauri Dalla Valle,Premier,Liverpool,Premier,Fulham,Swap,31/08/10
2010-2011,Paul Konchesky,Premier,Fulham,Premier,Liverpool,Swap,31/08/10
2010-2011,David Carney,NoneEPLChamp,Twente Enschede,Premier,Blackpool,Undisclosed,31/08/10
2010-2011,Adam Clayton,Premier,Manchester City,Championship,Leeds United,Undisclosed,31/08/10
2010-2011,Javier Macherano,Premier,Liverpool ,NoneEPLChamp,Barcelona,17300000,30/08/10
2010-2011,Fabio Daprela,NoneEPLChamp,West Ham,NoneEPLChamp,Brescia,Free,30/08/10
2010-2011,Paul Scharner,NoneEPLChamp,Unattached,Premier,West Bromwich Albion,Free,30/08/10
2010-2011,Raul Meireles,NoneEPLChamp,FC Porto,Premier,Liverpool,11500000,29/08/10
2010-2011,Carlos Salcido,NoneEPLChamp,PSV Eindhoven,Premier,Fulham,1600000,27/08/10
2010-2011,Marc-Antoine Fortune,NoneEPLChamp,Celtic,Premier,West Bromwich Albion,2500000,27/08/10
2010-2011,Ismael Tiote,NoneEPLChamp,Twente Enschede,Premier,Newcastle United,3500000,27/08/10
2010-2011,Benjani Mwaruwari,NoneEPLChamp,Unattached,Premier,Blackburn Rovers,Free,27/08/10
2010-2011,Sebastien Squillaci,NoneEPLChamp,Sevilla FC,Premier,Arsenal,4000000,26/08/10
2010-2011,Kristian Nemeth,Premier,Liverpool,NoneEPLChamp,Olympiakos,1500000,25/08/10
2010-2011,Rafik Halliche,NoneEPLChamp,Benfica,Premier,Fulham,1300000,24/08/10
2010-2011,Allesandro Diamanti,Premier,West Ham United,NoneEPLChamp,Brescia,1800000,24/08/10
2010-2011,Jason Scotland,Premier,Wigan Athletic,Championship,Ipswich Town,750000,23/08/10
2010-2011,Diego Cavalieri,Premier,Liverpool ,NoneEPLChamp,Casena,1000000,23/08/10
2010-2011,Steven Caldwell,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,23/08/10
2010-2011,William Gallas,NoneEPLChamp,Unattached,Premier,Tottenham Hotspur,Free,22/08/10
2010-2011,Peter Osaze Odemwingie,NoneEPLChamp,Lokomotiv Moscow,Premier,West Bromwich Albion,500000,20/08/10
2010-2011,Somen Tchoyi,NoneEPLChamp,Salzburg,Premier,West Bromwich Albion,2500000,20/08/10
2010-2011,Jay Simpson,Premier,Arsenal,Championship,Hull City,1200000,19/08/10
2010-2011,Jonathan Walters,Championship,Ipswich Town,Premier,Stoke City,2750000,18/08/10
2010-2011,Moussa Dembele,NoneEPLChamp,Az Alkmaar,Premier,Fulham,5000000,18/08/10
2010-2011,Stephen Ireland,Premier,Manchester City,Premier,Aston Villa,8000000,18/08/10
2010-2011,James Milner,Premier,Aston Villa ,Premier,Manchester City,26000000,18/08/10
2010-2011,Dorian Dervite,Premier,Tottenham Hotspur,NoneEPLChamp,Villarreal,Free,18/08/10
2010-2011,Dekel Keinan,NoneEPLChamp,Unattached,Premier,Blackpool,Free,18/08/10
2010-2011,Brad Jones,NoneEPLChamp,Middlesborough,Premier,Liverpool ,2300000,17/08/10
2010-2011,Jake Cassidy,NoneEPLChamp,Airbus UK Broughtan,NoneEPLChamp,Wolves,Undisclosed,17/08/10
2010-2011,Chris Basham,Premier,Bolton Wanderers,Premier,Blackpool,500000,13/08/10
2010-2011,James Beattie,Premier,Stoke City,NoneEPLChamp,Glasgow Rangers,1500000,13/08/10
2010-2011,Ramires,NoneEPLChamp,Benfica,Premier,Chelsea,18300000,13/08/10
2010-2011,Mario Balotelli,NoneEPLChamp,Internazionale,Premier,Manchester City,24500000,13/08/10
2010-2011,Robert Koren,Premier,West Bromwich Albion,NoneEPLChamp,Hulll City,Free,13/08/10
2010-2011,Tom Eaves,NoneEPLChamp,Oldham Athlectic,Premier,Bolton Wanderers,200000,12/08/10
2010-2011,Christian Poulson ,NoneEPLChamp,Juventus,Premier,Liverpool,4500000,12/08/10
2010-2011,Ricardo Carvalho,Premier,Chelsea,NoneEPLChamp,Real Madrid,7000000,12/08/10
2010-2011,Bebe,NoneEPLChamp,Vitoria,Premier,Manchester United,7400000,12/08/10
2010-2011,Craig Cathcart,Premier,Manchester United,NoneEPLChamp,Blacpool,350000,11/08/10
2010-2011,Kenwyne Jones,Premier,Sunderland,Premier,Stoke City,8000000,11/08/10
2010-2011,Malaury Martin,NoneEPLChamp,As Monaco,Premier,Blackpool,Free,11/08/10
2010-2011,Eliot Grandin,NoneEPLChamp,CSKA Moscow,Premier,Blackpool,Undisclosed,11/08/10
2010-2011,Ludovic Sylvestre,NoneEPLChamp,Mlada Boleslav,NoneEPLChamp,Blackbpool,Undisclosed,11/08/10
2010-2011,Scott Sinclair,Premier,Chelsea,NoneEPLChamp,Swansea,500000,09/08/10
2010-2011,Nicky Shorey,NoneEPLChamp,Aston Vlla,NoneEPLChamp,Wesr Bromwich Albion,1500000,09/08/10
2010-2011,Deco,Premier,Chelsea,NoneEPLChamp,Fluminense,Free,07/08/10
2010-2011,Adel Taarabt,Premier,Tottenham Hotspur,Championship,QPR,1000000,05/08/10
2010-2011,Winston Reid,NoneEPLChamp,Fc Mitdiylland,Premier,West Ham United,3000000,05/08/10
2010-2011,Marton Fulop,Premier,Sunderland,Championship,Ipswich Town,Undisclosed,05/08/10
2010-2011,Ivan Klasnic,NoneEPLChamp,Unattached,Premier,Bolton Wanderers,Free,04/08/10
2010-2011,Fabio Aurelio,NoneEPLChamp,Unattached,Premier,Liverpool,Free,31/07/10
2010-2011,Boaz Myhill,Championship,Hull City,Premier,West Bromwich Albion,1500000,30/07/10
2010-2011,Javio Garrido,Premier,Manchester City,NoneEPLChamp,Lazio,2750000,30/07/10
2010-2011,David James,Championship,Portsmouth,Championship,Bristol City,Free,30/07/10
2010-2011,Sol Campbell,NoneEPLChamp,Unattached,Premier,Newcastle United,Free,28/07/10
2010-2011,Tarmo Kink,NoneEPLChamp,Gyori Eto,NoneEPLChamp,Middlesborough,undisclosed,28/07/10
2010-2011,Ibrahima Sonko,Premier,Stoke City,Championship,Portsmouth,2000000,27/07/10
2010-2011,Marcos Alonso,NoneEPLChamp,Real Madrid,Premier,Bolton Wanderers,2000000,27/07/10
2010-2011,Lucas Jutkiewicz,Premier,Everton,Championship,Coventry City,200000,26/07/10
2010-2011,Thomas Hitzlsperger,NoneEPLChamp,Lazio,NoneEPLChamp,West Ham,Free,25/07/10
2010-2011,Albert Riera,Premier,Liverpool,NoneEPLChamp,Olympiakos,5000000,24/07/10
2010-2011,Aleksandar Kolarov,NoneEPLChamp,Lazio,Premier,Manchester City,17000000,24/07/10
2010-2011,Titus Bramble,Premier,Wigan Athletic,Premier,Sunderland,1000000,23/07/10
2010-2011,Lee Carsley,NoneEPLChamp,Birmingham,Championship,Coventry City,Free,23/07/10
2010-2011,Antolin Alcaraz,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,22/07/10
2010-2011,Dan Gosling,NoneEPLChamp,Unattached,Premier,Newcastle United,Free,22/07/10
2010-2011,Luca Moscatiello,Premier,Fulham,NoneEPLChamp,Cesena,Free,22/07/10
2010-2011,Danny Wilson,NoneEPLChamp,Rangers,Premier,Liverpool,2000000,21/07/10
2010-2011,Eduardo,Premier,Arsenal,NoneEPLChamp,Shakhtar Donetsk,6000000,21/07/10
2010-2011,Joe Cole,NoneEPLChamp,Unattached,Premier,Liverpool,Free,21/07/10
2010-2011,Daryl Murphy,Premier,Sunderland,NoneEPLChamp,Celtic,1300000,16/07/10
2010-2011,Pablo Barrera,NoneEPLChamp,UNAM,Premier,West Ham United,4000000,16/07/10
2010-2011,Kevin Thomson,NoneEPLChamp,Rangers,Championship,Middlesbrough,2000000,16/07/10
2010-2011,David Gray,Premier,Manchester United,Championship,Preston North End,Free,16/07/10
2010-2011,Conor Hourihane,Premier,Sunderland,Championship,Ipswich Town,Undisclosed,16/07/10
2010-2011,Frederic Piquionne,NoneEPLChamp,Lyon,Premier,West Ham United,Undisclosed,16/07/10
2010-2011,David Silva,NoneEPLChamp,Valencia,Premier,Manchester City,25000000,14/07/10
2010-2011,Stephen McManus,NoneEPLChamp,Celtic,Championship,Middlesbrough,1500000,13/07/10
2010-2011,James Harper,Championship,Sheffield United,Championship,Hull City,Free,12/07/10
2010-2011,Nolberto Solano,Championship,Leicester City,Championship,Hull City,Free,12/07/10
2010-2011,Miroslav  Stoch,Premier,Chelsea,NoneEPLChamp,Fenerbache,2500000,10/07/10
2010-2011,Nadir Belhadj,Championship,Portsmouth,NoneEPLChamp,Al Sadd,3500000,09/07/10
2010-2011,Lloyd Sam,NoneEPLChamp,Unattached,Championship,Leeds United,Signed,09/07/10
2010-2011,Lorik Cana,Premier,Sunderland,NoneEPLChamp,Galatasaray,5000000,08/07/10
2010-2011,Milan Jovanovic,NoneEPLChamp,Standard Liege,Premier,Liverpool,Free,08/07/10
2010-2011,Filip Mentel,Premier,Manchester City,NoneEPLChamp,Dundee United,Free,08/07/10
2010-2011,Florent Cuvelier,Championship,Portsmouth,Premier,Stoke City,Undisclosed,08/07/10
2010-2011,Nick Bailey,NoneEPLChamp,Charlton Athletic,Championship,Middlesbrough,1400000,07/07/10
2010-2011,Laurent Koscielny,NoneEPLChamp,Lorient,Premier,Arsenal,10000000,07/07/10
2010-2011,Leonard Sowah,Championship,Portsmouth,NoneEPLChamp,Hamburg SV,Free,07/07/10
2010-2011,Neill Collins,Championship,Preston North End,Championship,Leeds United,Undisclosed,07/07/10
2010-2011,Andy Haworth,Premier,Blackburn Rovers,NoneEPLChamp,Bury,Free,06/07/10
2010-2011,James Perch,Championship,Nottingham Forest,Premier,Newcastle United,1000000,05/07/10
2010-2011,Kris Boyd,NoneEPLChamp,Unattached,Championship,Middlesbrough,Free,05/07/10
2010-2011,John Ruddy,Premier,Everton,Championship,Norwich City,Undisclosed,05/07/10
2010-2011,Valeri Bojinov,Premier,Manchester City,NoneEPLChamp,Parma,5000000,04/07/10
2010-2011,Yossi Benayoun,Premier,Liverpool,Premier,Chelsea,5000000,02/07/10
2010-2011,Yaya Toure,NoneEPLChamp,Barcelona,Premier,Manchester City,24000000,02/07/10
2010-2011,Steve Simonsen,Premier,Stoke City,Championship,Sheffield United,Free,02/07/10
2010-2011,Ben Burgess,Premier,Blackpool,NoneEPLChamp,Notts County,Free,02/07/10
2010-2011,Alex Henshall ,NoneEPLChamp,Swindon Town,Premier,Manchester City,250000,01/07/10
2010-2011,Marnick Vermijl ,NoneEPLChamp,Standard Leige,Premier,Manchester United,300000,01/07/10
2010-2011,Jason Shackell ,Premier,Wolverhampton Wanderers,Championship,Barnsley,300000,01/07/10
2010-2011,Joao Silva ,NoneEPLChamp,Desportivo Aves,Premier,Everton,500000,01/07/10
2010-2011,Chris Iwelumo ,Premier,Wolverhampton Wanderers,Championship,Burnley,500000,01/07/10
2010-2011,Dean Marney,Championship,Hull City,Championship,Burnley,500000,01/07/10
2010-2011,Dean Marney,Championship,Hull City,Championship,Burnley,500000,01/07/10
2010-2011,Kyle Ebecillo,NoneEPLChamp,Feyenoord,Premier,Arsenal,500000,01/07/10
2010-2011,Magaye Guaye,NoneEPLChamp,Strasbourg,Premier,Everton,1000000,01/07/10
2010-2011,Jonjo Shelvey ,NoneEPLChamp,Charlton Athletic,Premier,Liverpool,1700000,01/07/10
2010-2011,Simon Mignolet ,NoneEPLChamp,Sint-Truiden,Premier,Sunderland,2000000,01/07/10
2010-2011,Steven Mouyokolo ,Championship,Hull City,NoneEPLChamp,Wolves,2500000,01/07/10
2010-2011,Jelle van Damme ,NoneEPLChamp,Anderlect,NoneEPLChamp,Wolves,2500000,01/07/10
2010-2011,Steven Mouyokolo,Championship,Hull City,Premier,Wolverhampton Wanderers,2500000,01/07/10
2010-2011,Stephen Hunt ,Championship,Hull City,NoneEPLChamp,Wolves,3000000,01/07/10
2010-2011,Stephen Hunt,Championship,Hull City,Premier,Wolverhampton Wanderers,3000000,01/07/10
2010-2011,Sandro Raniere,NoneEPLChamp,Internacional,Premier,Tottenham Hotspur,6000000,01/07/10
2010-2011,Javier Hernandez Balcazar,NoneEPLChamp,Guadalajara,Premier,Manchester United,6000000,01/07/10
2010-2011,Ben Foster,Premier,Manchester United,NoneEPLChamp,Bermingham City,6000000,01/07/10
2010-2011,Steven Fletcher ,Championship,Burnley,NoneEPLChamp,Wolves,6500000,01/07/10
2010-2011,Stephen Fletcher,Championship,Burnley,Premier,Wolverhampton wanderers,6500000,01/07/10
2010-2011,Mauro Boselli,NoneEPLChamp,Estudiantes LP,NoneEPLChamp,Wigan,6500000,01/07/10
2010-2011,Zoran Tosic,Premier,Manchester United,NoneEPLChamp,CSKA  Moscow,7000000,01/07/10
2010-2011,Chris Smalling,Premier,Fulham,Premier,Manchester United,10000000,01/07/10
2010-2011,Jerome Boateng,NoneEPLChamp,Hamburg SV,Premier,Manchester City,11000000,01/07/10
2010-2011,Luke Ayling,Premier,Arsenal,NoneEPLChamp,Yeovil Town,Free,01/07/10
2010-2011,Antolin Alcaraz,NoneEPLChamp,Club Brugge,NoneEPLChamp,Wigan,Free,01/07/10
2010-2011,Thomas Hitzlsperger,NoneEPLChamp,Lazio,NoneEPLChamp,West Ham,Free,01/07/10
2010-2011,Steven Reid,Premier,Blackburn Rovers,Premier,West Bromwich Albion,Free,01/07/10
2010-2011,Pablo Ibanez,NoneEPLChamp,Atletico Madrid,Premier,West Bromwich Albion,Free,01/07/10
2010-2011,Mario Melchiot,Premier,Wigan Athletic,NoneEPLChamp,Umim Salil,Free,01/07/10
2010-2011,Cristian Riveros,NoneEPLChamp,Cruz Azul,Premier,Sunderland,Free,01/07/10
2010-2011,Daniel Jones,Premier,Wolverhampton Wanderers,NoneEPLChamp,Sheffield Wednesday,Free,01/07/10
2010-2011,Christian Benetiz,NoneEPLChamp,Birmingham,NoneEPLChamp,Santos Laguna,Free,01/07/10
2010-2011,Marcus Marshall ,Premier,Blackburn Rovers,NoneEPLChamp,Rotherham,Free,01/07/10
2010-2011,Bondz N'Gala,NoneEPLChamp,West Ham,NoneEPLChamp,Plymouth Argyle,Free,01/07/10
2010-2011,Nathaniel Mendez-Laing,Premier,Wolverhampton Wanderers,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Mark Little ,Premier,Wolverhampton Wanderers,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Seth Ofori-Twumasi,Premier,Chelsea,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Nathaniel Wedderburn,Premier,Stoke City,NoneEPLChamp,Northampton Town,Free,01/07/10
2010-2011,David Martin,Premier,Liverpool,NoneEPLChamp,Milton Keynes Dons,Free,01/07/10
2010-2011,Lee Butcher,Premier,Tottenham Hotspur,NoneEPLChamp,Leyton Orient,Free,01/07/10
2010-2011,Billy Paynter,NoneEPLChamp,Swindon Town,Championship,Leeds United,Free,01/07/10
2010-2011,Paul Connolly,Championship,Derby County,Championship,Leeds United,Free,01/07/10
2010-2011,Joey K Gudjonsson,Championship,Burnley,NoneEPLChamp,Huddersfield Town,Free,01/07/10
2010-2011,Ron-Robert Zieler,Premier,Manchester United,NoneEPLChamp,Hannover 96,Free,01/07/10
2010-2011,Phillip Senderos,Premier,Arsenal,Premier,Fulham,Free,01/07/10
2010-2011,Jan Mucha,NoneEPLChamp,Legia Warsaw,Premier,Everton,Free,01/07/10
2010-2011,Jermaine Beckford ,NoneEPLChamp,Leeds,Premier,Everton,Free,01/07/10
2010-2011,George Friend ,Premier,Wolverhampton Wanderers,Championship,Doncaster Rovers,Free,01/07/10
2010-2011,Tomasz Cywka,Premier,Wigan Athletic,Championship,Derby County,Free,01/07/10
2010-2011,Jamie Chandler,Premier,Sunderland,NoneEPLChamp,Darlington,Free,01/07/10
2010-2011,Roy O'Donovan,Premier,Sunderland,Championship,Coventry City,Free,01/07/10
2010-2011,Gary McSheffrey,NoneEPLChamp,Birmingham,Championship,Coventry City,Free,01/07/10
2010-2011,Stephen O'Halloran,Premier,Aston Villa,Championship,Coventry City,Free,01/07/10
2010-2011,Tom Heaton,Premier,Manchester United,Championship,Cardiff City,Free,01/07/10
2010-2011,Robbie Threlfall ,Premier,Liverpool,NoneEPLChamp,Bradford City,Free,01/07/10
2010-2011,Martin Petrov,Premier,Manchester City,Premier,Bolton Wanderers,Free,01/07/10
2010-2011,Robbie Blake,Championship,Burnley,Premier,Bolton Wanderers,Free,01/07/10
2010-2011,Enric Valles,NoneEPLChamp,NAC Breda,NoneEPLChamp,Birmingham,Free,01/07/10
2010-2011,Sam Cox,Premier,Tottenham Hotspur,NoneEPLChamp,Barnet,Free,01/07/10
2010-2011,Fran Meirda,Premier,Arsenal,NoneEPLChamp,Atletico Madrid,Free,01/07/10
2010-2011,Marouane Chamakh,NoneEPLChamp,Bordeaux,Premier,Arsenal,Free,01/07/10
2010-2011,Michael Hall ,Premier,Blackburn Rovers,NoneEPLChamp,Accrington Stanley,Free,01/07/10
2010-2011,Erik Nevland ,Premier,Fulham,NoneEPLChamp,Viking,Free ,01/07/10
2010-2011,Elliot Omozusi ,Premier,Fulham,NoneEPLChamp,Leyton Orient,Free      ,01/07/10
2010-2011,Stefan Payne ,Premier,Fulham,NoneEPLChamp,Gillingham,Free      ,01/07/10
2010-2011,Wayne Brown ,Premier,Fulham,NoneEPLChamp,Bristol Rovers,Free      ,01/07/10
2010-2011,Andy Griffin,Premier,Stoke City,Championship,Reading,Nominal,01/07/10
2010-2011,Michael Ballack,Premier,Chelsea,NoneEPLChamp,Bayer Leverkusen,Free,01/07/10
2010-2011,Guillermo Franco,NoneEPLChamp,West Ham,NoneEPLChamp,,Released,01/07/10
2010-2011,Amdy Faye ,Premier,Stoke City,NoneEPLChamp,,Released,01/07/10
2010-2011,Andrew Mitchell ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Benjani Mwaruwari ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Sylvinho ,Premier,Manchester City,NoneEPLChamp,,Released,01/07/10
2010-2011,Christopher Oldfield ,Premier,Liverpool,NoneEPLChamp,,Released,01/07/10
2010-2011,Juliano Belletti ,Premier,Chelsea,NoneEPLChamp,,Released,01/07/10
2010-2011,Joe Cole ,Premier,Chelsea,NoneEPLChamp,,Released,01/07/10
2010-2011,Franck Queudrue ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Teemu Tainio ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Gregory Vignal ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Jared Wilson ,NoneEPLChamp,Birmingham,NoneEPLChamp, ,Released,01/07/10
2010-2011,Wilfred Bouma,Premier,Aston Villa,NoneEPLChamp, ,Released,01/07/10
2010-2011,Marlon Harewood,Premier,Aston Villa,NoneEPLChamp, ,Released,01/07/10
2010-2011,Lloyd Sam,NoneEPLChamp,Charlton Athletic,Championship,Leeds United,Signed,01/07/10
2010-2011,Gabriel Sebastian Tamas,NoneEPLChamp,AJ Auxerre,Premier,West Bromwich Albion,Undisclosed,01/07/10
2010-2011,Andrew Surman,Premier,Wolverhampton Wanderers,Championship,Norwich City,Undisclosed,01/07/10
2010-2011,Jonathan Greening,Premier,West Bromwich Albion,Premier,Fulham,undisclosed,01/07/10
2010-2011,Mikel San Jose,Premier,Liverpool,NoneEPLChamp,Athletico Bilbao,Undisclosed,01/07/10
