Season,Player_Name,League_Moving_From,Club_Moving_From,League_Moving_To,Club_Moving_To,Fee,Date
2010-2011,Andrew Carroll,Premier,Newcastle United,Premier,Liverpool,35000000,31/01/11
2010-2011,Conor Sammon,NoneEPLChamp,Kilmarnock,Premier,Wigan Athletic,600000,31/01/11
2010-2011,David Ball,Premier,Manchester City,NoneEPLChamp,Peterborough United,Undisclosed,31/01/11
2010-2011,David Luiz,NoneEPLChamp,Benfica,Premier,Chelsea,21300000,31/01/11
2010-2011,Fernando Torres,Premier,Liverpool,Premier,Chelsea,50000000,31/01/11
2010-2011,Mauro Formica,NoneEPLChamp,Newell's Old Boys,Premier,Blackburn Rovers,3000000,31/01/11
2010-2011,Nacer Barazite,Premier,Arsenal,NoneEPLChamp,Austria Vienna,Free,31/01/11
2010-2011,Paul McCallum,NoneEPLChamp,Dulwich Hamlet,Premier,West Ham United,Undisclosed,31/01/11
2010-2011,Ruben Rochina,NoneEPLChamp,Barcelona,Premier,Blackburn Rovers,Undisclosed,31/01/11
2010-2011,Apostolos Vellios,NoneEPLChamp,Iraklis,Premier,Everton,Nominal,31/01/11
2010-2011,Adriano Basso,NoneEPLChamp,Unattached,Premier,Wolverhampton Wanderers,Free,31/01/11
2010-2011,David Elm,Premier,Fulham,NoneEPLChamp,Elfsborg,Undisclosed,31/01/11
2010-2011,Andy Reid,Premier,Sunderland,Premier,Blackpool,1000000,31/01/11
2010-2011,Cameron Stewart,Premier,Manchester United,Championship,Hull City,undisclosed,31/01/11
2010-2011,Paulo Da Silva,Premier,Sunderland,NoneEPLChamp,Real Zaragoza,undisclosed,31/01/11
2010-2011,Tuncay Sanli,Premier,Stoke City,NoneEPLChamp,Vfl Wolfsburg,Undisclosed,31/01/11
2010-2011,Luis Suarez,NoneEPLChamp,Ajax,Premier,Liverpool,23000000,31/01/11
2010-2011,David Healy,Premier,Sunderland,NoneEPLChamp,Rangers,Free,30/01/11
2010-2011,Stephane Sessegnon,NoneEPLChamp,Paris Saint-Germain ,Premier,Sunderland,6000000,29/01/11
2010-2011,Curtis Davies,Premier,Aston Villa,NoneEPLChamp,Birmingham,3500000,28/01/11
2010-2011,Demba Ba,NoneEPLChamp,TSG Hoffenheim,Premier,West Ham United,6000000,28/01/11
2010-2011,Reuben Reid,Premier,West Bromwich Albion,NoneEPLChamp,Oldham Athletic,Free,28/01/11
2010-2011,Valon Behrami,Premier,West Ham United,NoneEPLChamp,Fiorentina,Undisclosed,26/01/11
2010-2011,Gary O'Neil,Championship,Middlesbrough,Premier,West Ham United,Undisclosed,25/01/11
2010-2011,Ryan Babel,Premier,Liverpool,NoneEPLChamp,TSG Hoffenheim,5800000,25/01/11
2010-2011,Pascal Chimbonda,Premier,Blackburn Rovers,Championship,QPR,Free,21/01/11
2010-2011,Adam Hammill,Championship,Barnsley,Premier,Wolverhampton Wanderers,500000,20/01/11
2010-2011,David Wheater,Championship,Middlesbrough,Premier,Bolton Wanderers,2300000,20/01/11
2010-2011,Darren Bent,Premier,Sunderland,Premier,Aston Villa,18000000,18/01/11
2010-2011,Steven Pienaar,Premier,Everton,Premier,Tottenham Hotspur,3000000,18/01/11
2010-2011,Jean Makoun,NoneEPLChamp,Lyon,Premier,Aston Villa,6000000,15/01/11
2010-2011,Alan Judge,Premier,Blackburn Rovers,NoneEPLChamp,Notts County,Undisclosed,14/01/11
2010-2011,Fredrik Stoor,Premier,Fulham,NoneEPLChamp,Valerenga,Undisclosed,13/01/11
2010-2011,Robert Milsom,Premier,Fulham,NoneEPLChamp,Aberdeen,Undisclosed,13/01/11
2010-2011,Zac Thompson,NoneEPLChamp,Unattached,Championship,Leeds United,Free,11/01/11
2010-2011,Bongani Khumalo,NoneEPLChamp,SuperSport United,Premier,Tottenham Hotspur,1500000,07/01/11
2010-2011,Edin Dzeko,NoneEPLChamp,VfL Wolfsburg,Premier,Manchester City,27000000,07/01/11
2010-2011,James Chester,Premier,Manchester United,Championship,Hull City,300000,07/01/11
2010-2011,Luke Moore,Premier,West Bromwich Albion,Championship,Swansea City,Undisclosed,07/01/11
2010-2011,Matt Ritchie,Championship,Portsmouth,NoneEPLChamp,Swindon Town,200000,07/01/11
2010-2011,Steve Sidwell,Premier,Aston Villa,Premier,Fulham,undisclosed,07/01/11
2010-2011,Alex Marrow,Premier,Blackburn Rovers,Championship,Crystal Palace,50000,06/01/11
2010-2011,Hatem Ben Arfa,NoneEPLChamp,Marseille,Premier,Newcastle United,5750000,05/01/11
2010-2011,Andrew O Brien,NoneEPLChamp,Bolton,NoneEPLChamp,Leeds,Free,04/01/11
2010-2011,Jermaine Pennant,NoneEPLChamp,Real Zaragoza,Premier,Stoke City,1725000,04/01/11
2010-2011,Anders Lindegaard,NoneEPLChamp,Aalesund,Premier,Manchester United,3500000,04/01/11
