season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2011-2012,Summer,Jordan Henderson,Premier,Sunderland,Premier,Liverpool,16000000,24/08/11
2011-2012,Summer,Jonathan Woodgate,Premier,Tottenham Hotspur,Premier,Stoke City,Free,07/07/11
2011-2012,Summer,Jonathan Hogg,Premier,Aston Villa,Championship,Watford,500000,27/08/11
2011-2012,Summer,Jonathan Greening,Premier,Fulham,Championship,Nottingham Forest,600000,14/07/11
2011-2012,Summer,John Pantsil,Premier,Fulham,Championship,Leicester City,Free,21/07/11
2011-2012,Summer,John O'Shea,Premier,Manchester United,Premier,Sunderland,4500000,04/07/11
2011-2012,Summer,John Arne Riise,NoneEPLChamp,AS Roma,Premier,Fulham,2000000,11/07/11
2011-2012,Summer,Johan Elmander,Premier,Bolton Wanderers,NoneEPLChamp,Galatasaray,Signed,01/06/11
2011-2012,Summer,Joey Barton,NoneEPLChamp,Newcastle,Premier,QPR,2000000,26/08/11
2011-2012,Summer,Joel Campbell,NoneEPLChamp,Saprissa,Premier,Arsenal,950000,19/08/11
2011-2012,Summer,Joe Oastler,Premier,QPR,NoneEPLChamp,Torquay United,Free,22/06/11
2011-2012,Summer,Joe Dudgeon,Premier,Manchester United,Championship,Hull City,300000,01/06/11
2011-2012,Summer,Jo,Premier,Manchester City,NoneEPLChamp,Internacional,Undisclosed,20/07/11
2011-2012,Summer,Jerome Boateng,Premier,Manchester City,NoneEPLChamp,Bayern Munich,15000000,15/07/11
2011-2012,Summer,Jermaine Beckford,Premier,Everton,Championship,Leicester City,4000000,31/08/11
2011-2012,Summer,Jean Yves Mvoto Owono,Premier,Sunderland,NoneEPLChamp,Oldham Athletic,Free,28/06/11
2011-2012,Summer,Jay Emmanuel-Thomas,Premier,Arsenal,Championship,Ipswich Town,1500000,26/07/11
2011-2012,Summer,Jay Bothroyd,Championship,Cardiff City,Premier,QPR,Free,11/06/11
2011-2012,Summer,Jamie O'Hara,Premier,Tottenham Hotspur,Premier,Wolverhampton Wanderers,5000000,01/07/11
2011-2012,Summer,Jamie Edge,Premier,Arsenal,Premier,West Bromwich Albion,Free,16/08/11
2011-2012,Summer,James Vaughan,Premier,Everton,Premier,Norwich City,Undisclosed,01/06/11
2011-2012,Summer,James Poole,Premier,Manchester City,NoneEPLChamp,Hartlepool United,Free,01/06/11
2011-2012,Summer,James McClean,NoneEPLChamp,Derry City,Premier,Sunderland,350000,09/08/11
2011-2012,Summer,Jacopo Sala,Premier,Chelsea,NoneEPLChamp,Hamburg SV,Undisclosed,01/06/11
2011-2012,Summer,Jack Cork,Premier,Chelsea,Championship,Southampton,1200000,05/07/11
2011-2012,Summer,Ishmel Demontagnac,Championship,Blackpool,NoneEPLChamp,Notts County,Free,01/06/11
2011-2012,Summer,Ishmael Miller,Premier,West Bromwich Albion,Championship,Nottingham Forest,1200000,15/08/11
2011-2012,Summer,Hope Akpan,NoneEPLChamp,Everton,NoneEPLChamp,Crawley town,Free,15/08/11
2011-2012,Summer,Greg Halford,Premier,Wolverhampton Wanderers,Championship,Portsmouth,1000000,08/07/11
2011-2012,Summer,Gokhan Tore,Premier,Chelsea,NoneEPLChamp,Hamburg SV,1000000,01/06/11
2011-2012,Summer,Gilles Sunu,Premier,Arsenal,NoneEPLChamp,Lorient,Free,31/08/11
2011-2012,Summer,Gianni Zuiverloon,Premier,West Bromwich Albion,NoneEPLChamp,Mallorca,Free,07/07/11
2011-2012,Summer,Gervinho,NoneEPLChamp,Lille,Premier,Arsenal,10600000,15/07/11
2011-2012,Summer,Gerhard Tremmel,NoneEPLChamp,Unattached,Premier,Swansea City,Free,30/08/11
2011-2012,Summer,Gerardo Bruna,Premier,Liverpool,Championship,Blackpool,750000,18/07/11
2011-2012,Summer,Gareth McAuley,Championship,Ipswich Town,Premier,West Bromwich Albion,Free,30/06/11
2011-2012,Summer,Gael Clichy,Premier,Arsenal,Premier,Manchester City,7000000,01/07/11
2011-2012,Summer,Gabriel Obertan,Premier,Manchester United,Premier,Newcastle United,3000000,09/08/11
2011-2012,Summer,Frank Fielding,Premier,Blackburn Rovers,Championship,Derby County,Undisclosed,01/06/11
2011-2012,Summer,Federico Bessone,NoneEPLChamp,Unattached,Premier,Swansea City,Free,31/08/11
2011-2012,Summer,Emmanuel Eboue,Premier,Arsenal,NoneEPLChamp,Galatasary,4000000,16/08/11
2011-2012,Summer,Emiliano Insua,Premier,Liverpool,NoneEPLChamp,Sporting Lisbon,Free,27/08/11
2011-2012,Summer,Elliott Bennett,NoneEPLChamp,Brighton,Premier,Norwich City,1500000,06/06/11
2011-2012,Summer,Elliot Bennet,NoneEPLChamp,Brighton,Premier,Norwich City,1500000,08/06/11
2011-2012,Summer,Marton Fulop,Premier,West Bromwich Albion,Championship,Ipswich Town,Free,08/08/11
2011-2012,Summer,Dudley Campbell,Championship,Blackpool,Premier,QPR,1200000,04/08/11
2011-2012,Summer,Dorus De Vries,Premier,Swansea City,Premier,Wolverhampton Wanderers,Free,13/06/11
2011-2012,Summer,Doni,NoneEPLChamp,AS Roma,Premier,Liverpool,Undisclosed,13/07/11
2011-2012,Summer,Dong-Won Ji,NoneEPLChamp,Chunnam Dragons,Premier,Sunderland,2000000,29/06/11
2011-2012,Summer,Donald McDermott,Premier,Manchester City,NoneEPLChamp,Huddersfield Town,Free,01/07/11
2011-2012,Summer,Diomansy Kamara,Premier,Fulham,NoneEPLChamp,Eskisehirspor,Free,30/06/11
2011-2012,Summer,Demba Ba,Championship,West Ham United,Premier,Newcastle United,Free,09/06/11
2011-2012,Summer,Davide Santon,NoneEPLChamp,Internazionale,Premier,Newcastle United,5300000,30/08/11
2011-2012,Summer,David Vaughan,Championship,Blackpool,Premier,Sunderland,Free,06/07/11
2011-2012,Summer,David Ngog,Premier,Liverpool,Premier,Bolton Wanderers,4000000,31/08/11
2011-2012,Summer,David Jones,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,02/08/11
2011-2012,Summer,David Goodwillie,NoneEPLChamp,Dundee United,Premier,Blackburn Rovers,2800000,30/07/11
2011-2012,Summer,David De Gea,NoneEPLChamp,Atletico Madrid,Premier,Manchester United,18900000,23/06/11
2011-2012,Summer,Darren Pratley,Premier,Swansea City,Premier,Bolton Wanderers,Free,01/07/11
2011-2012,Summer,Darnel Situ Buyente,NoneEPLChamp,Lens,Premier,Swansea City,250000,31/08/11
2011-2012,Summer,Danny Ward,Premier,Bolton Wanderers,NoneEPLChamp,Huddersfield Town,1000000,10/07/11
2011-2012,Summer,Danny Philliskirk,Premier,Chelsea,NoneEPLChamp,Sheffield United,Free,01/07/11
2011-2012,Summer,Danny Graham,Championship,Watford,Premier,Swansea City,3500000,13/06/11
2011-2012,Summer,Daniel Leadbitter,Premier,Newcastle United,NoneEPLChamp,Torquay United,Free,22/06/11
2011-2012,Summer,Daniel Gabbidon,Championship,West Ham United,Premier,QPR,free,25/07/11
2011-2012,Summer,Daniel Ayala,Premier,Liverpool,Premier,Norwich City,800000,13/08/11
2011-2012,Summer,Csaba Somogyi,NoneEPLChamp,Rakospalotai EAC,Premier,Fulham,Free,07/07/11
2011-2012,Summer,Cristian Ceballos,NoneEPLChamp,Barcelona,Premier,Tottenham Hotspur,Free,07/07/11
2011-2012,Summer,Craig Gardner,NoneEPLChamp,Birmingham,Premier,Sunderland,6000000,29/06/11
2011-2012,Summer,Craig Bellamy,Premier,Manchester City,Premier,Liverpool,Free,31/08/11
2011-2012,Summer,Costel Pantilimon,NoneEPLChamp,FC Timisoara,Premier,Manchester City,3000000,05/08/11
2011-2012,Summer,Corry Evans,Premier,Manchester United,Championship,Hull City,500000,01/06/11
2011-2012,Summer,Connor Wickham,Championship,Ipswich Town,Premier,Sunderland,8000000,25/06/11
2011-2012,Summer,Cody McDonald,Premier,Norwich City,NoneEPLChamp,Colchester United,450000,31/08/11
2011-2012,Summer,Christian Poulsen,Premier,Liverpool,NoneEPLChamp,Evian Thonon Gaillard,1000000,31/08/11
2011-2012,Summer,Chris Mavinga,Premier,Liverpool,NoneEPLChamp,Stade Rennes,1000000,19/07/11
2011-2012,Summer,Chris Eagles,Championship,Burnley,Premier,Bolton Wanderers,1500000,01/08/11
2011-2012,Summer,Chris Burke,Championship,Cardiff City,NoneEPLChamp,Birmingham,Free,01/06/11
2011-2012,Summer,Charlie Adam,Championship,Blackpool,Premier,Liverpool,7000000,06/07/11
2011-2012,Summer,Charles N'Zogbia,Premier,Wigan Athletic,Premier,Aston Villa,9500000,01/08/11
2011-2012,Summer,Cesc Fabregas,Premier,Arsenal,NoneEPLChamp,Barcelona,35000000,15/08/11
2011-2012,Summer,Carl Jenkinson,NoneEPLChamp,Charlton Athletic,Premier,Arsenal,Free,01/06/11
2011-2012,Summer,Carl Dickinson,Premier,Stoke City,Championship,Watford,600000,01/08/11
2011-2012,Summer,Cameron Jerome,NoneEPLChamp,Birmingham,Premier,Stoke City,4000000,31/08/11
2011-2012,Summer,Callum Tapping,Premier,Tottenham Hotspur,NoneEPLChamp,Heart of Midlothian,Nominal,31/08/11
2011-2012,Summer,Bryan Ruiz,NoneEPLChamp,Twente Enschede,Premier,Fulham,Free,31/08/11
2011-2012,Summer,Bruno Ribeiro,NoneEPLChamp,Unattached,Premier,Blackburn Rovers,Free,12/08/11
2011-2012,Summer,Bruno Perone,NoneEPLChamp,Unattached,Premier,QPR,Free,11/08/11
2011-2012,Summer,Brian Murphy,NoneEPLChamp,Unattached,Premier,QPR,Free,10/08/11
2011-2012,Summer,Brett Emerton,Premier,Blackburn Rovers,NoneEPLChamp,Sydney Fc,Free,25/08/11
2011-2012,Summer,Bradley Johnson,Championship,Leeds United,Premier,Norwich City,Free,06/06/11
2011-2012,Summer,Bradley Johnson,Championship,Leeds United,Premier,Norwich City,Free,01/07/11
2011-2012,Summer,Brad Friedel,Premier,Aston Villa,Premier,Tottenham Hotspur,Free,01/06/11
2011-2012,Summer,Borja Valero,Premier,West Bromwich Albion,NoneEPLChamp,Villarreal,Undisclosed,01/07/11
2011-2012,Summer,Billy Jones,NoneEPLChamp,Preston North End,Premier,West Bromwich Albion,Free,01/06/11
2011-2012,Summer,Ben Tozer,Premier,Newcastle United,NoneEPLChamp,Northampton Town,Free,16/06/11
2011-2012,Summer,Bagasan Graham,Premier,QPR,NoneEPLChamp,Cheltenham Town,Free,23/07/11
2011-2012,Summer,Ashley Young,Premier,Aston Villa,Premier,Manchester United,17000000,17/06/11
2011-2012,Summer,Armand Traore,Premier,Arsenal,Premier,QPR,1200000,30/08/11
2011-2012,Summer,Antonio Amaya,Premier,Wigan Athletic,NoneEPLChamp,Real Betis,300000,18/07/11
2011-2012,Summer,Anton Ferdinand,Premier,Sunderland,Premier,QPR,1000000,31/08/11
2011-2012,Summer,Anthony Pilkington,NoneEPLChamp,Huddersfield Town,Premier,Norwich City,2000000,01/07/11
2011-2012,Summer,Andrew Tutte,Premier,Manchester City,NoneEPLChamp,Rochdale,Free,01/07/11
2011-2012,Summer,Andrew Burns,Premier,Bolton Wanderers,NoneEPLChamp,Bradford City,Free,11/07/11
2011-2012,Summer,Andre Santos,NoneEPLChamp,Fenerbahce,Premier,Arsenal,6200000,31/08/11
