season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2011-2012,Winter,Dinyar Bilyaletdinov,Premier,Everton,NoneEPLChamp,Spartak Moscow,5000000,29/01/12
2011-2012,Winter,Andrew Keogh,Premier,Wolverhampton Wanderers,Championship,Millwall,400000,31/01/12
2011-2012,Winter,Ben Marshall,Premier,Stoke City,Championship,Leicester City,1000000,31/01/12
2011-2012,Winter,Bobby Zamora,Premier,Fulham,Premier,QPR,4000000,31/01/12
2011-2012,Winter,Bradley Orr,Premier,QPR,Premier,Blackburn Rovers,Undisclosed,31/01/12
2011-2012,Winter,Djibril Cisse,NoneEPLChamp,Lazio,Premier,QPR,4000000,31/01/12
2011-2012,Winter,Keith Andrews,Premier,Blackburn Rovers,Premier,West Bromwich Albion,Undisclosed,31/01/12
2011-2012,Winter,Kevin De Bruyne,NoneEPLChamp,Racing Genk,Premier,Chelsea,6700000,31/01/12
2011-2012,Winter,Liam Ridgewell,NoneEPLChamp,Birmingham,Premier,West Bromwich Albion,2000000,31/01/12
2011-2012,Winter,Marvin Sordell,Championship,Watford,Premier,Bolton Wanderers,4000000,31/01/12
2011-2012,Winter,Nikica Jelavic,NoneEPLChamp,Rangers,Premier,Everton,6000000,31/01/12
2011-2012,Winter,Patrick Bamford,Championship,Nottingham Forest,Premier,Chelsea,1500000,31/01/12
2011-2012,Winter,Pavel Pogrebnyak,NoneEPLChamp,VfB Stuttgart,Premier,Fulham,3000000,31/01/12
2011-2012,Winter,Philipp Prosenik,Premier,Chelsea,NoneEPLChamp,AC Milan,undisclosed,31/01/12
2011-2012,Winter,Ravel Morrison,Premier,Manchester United,Championship,West Ham United,1000000,31/01/12
2011-2012,Winter,Roman Pavlyuchenko,Premier,Tottenham Hotspur,NoneEPLChamp,Lokomotiv Moscow,8000000,31/01/12
2011-2012,Winter,Thomas Eisfeld,NoneEPLChamp,Borussia Dortmund,Premier,Arsenal,475000,31/01/12
2011-2012,Winter,Marcus Olsson,NoneEPLChamp,Halmstad,Premier,Blackburn Rovers,0,31/01/12
2011-2012,Winter,Danny Ward,NoneEPLChamp,Wrexham,Premier,Liverpool,100000,30/01/12
2011-2012,Winter,Diniyar Bilyaletdinov,Premier,Everton,NoneEPLChamp,Spartak Moscow,5000000,29/01/12
2011-2012,Winter,Mame Biram Diouf,Premier,Manchester United,NoneEPLChamp,Hannover 96,1500000,28/01/12
2011-2012,Winter,Roman Bednar,Premier,West Bromwich Albion,Championship,Blackpool,Free,28/01/12
2011-2012,Winter,Alex,Premier,Chelsea,NoneEPLChamp,Paris Saint-Germain,4200000,28/01/12
2011-2012,Winter,Shane Lowry,Premier,Aston Villa,Championship,Millwall,Undisclosed,27/01/12
2011-2012,Winter,Jason Roberts,Premier,Blackburn Rovers,Championship,Reading,Undisclosed,26/01/12
2011-2012,Winter,Nedum Onuoha,Premier,Manchester City,Premier,QPR,2750000,26/01/12
2011-2012,Winter,Tim Ream,NoneEPLChamp,New York Red Bulls,Premier,Bolton Wanderers,2000000,26/01/12
2011-2012,Winter,Jean Beausejour,NoneEPLChamp,Birmingham,Premier,Wigan Athletic,3000000,25/01/12
2011-2012,Winter,Jonathan Howson,Championship,Leeds United,Premier,Norwich City,3200000,24/01/12
2011-2012,Winter,Daniel Drinkwater,Premier,Manchester United,Championship,Leicester City,750000,20/01/12
2011-2012,Winter,Oli Johnson,Premier,Norwich City,NoneEPLChamp,Swindon Town,Free,20/01/12
2011-2012,Winter,Jack Grimmer,NoneEPLChamp,Aberdeen,Premier,Fulham,200000,18/01/12
2011-2012,Winter,Lasse Vigen Christensen,NoneEPLChamp,FC Midtjylland,Premier,Fulham,Undisclosed,18/01/12
2011-2012,Winter,Papiss Demba Cisse,NoneEPLChamp,SC Freiburg,Premier,Newcastle United,10000000,17/01/12
2011-2012,Winter,Gary Cahill,Premier,Bolton Wanderers,Premier,Chelsea,7000000,16/01/12
2011-2012,Winter,Yago Falque,NoneEPLChamp,Juventus,Premier,Tottenham Hotspur,Undisclosed,16/01/12
2011-2012,Winter,Darron Gibson,Premier,Manchester United,Premier,Everton,2000000,13/01/12
2011-2012,Winter,Liam Noble,Premier,Sunderland,NoneEPLChamp,Carlisle United,Free,12/01/12
2011-2012,Winter,Darnel Situ Buyente,NoneEPLChamp,Lens,Premier,Swansea City,250000,11/01/12
2011-2012,Winter,Luke Freeman,Premier,Arsenal,NoneEPLChamp,Stevenage,Undisclosed,10/01/12
2011-2012,Winter,Nyron Nosworthy,Premier,Sunderland,Championship,Watford,Undisclosed,10/01/12
2011-2012,Winter,Scott Allan,NoneEPLChamp,Dundee United,Premier,West Bromwich Albion,400000,10/01/12
2011-2012,Winter,Chris Chantler,Premier,Manchester City,NoneEPLChamp,Carlisle United,Undisclosed,06/01/12
2011-2012,Winter,Paul Scholes,NoneEPLChamp,Unattached,Premier,Manchester United,Free,06/01/12
2011-2012,Winter,Danny Pugh,Premier,Stoke City,Championship,Leeds United,500000,03/01/12
2011-2012,Winter,Elliot Parish,Premier,Aston Villa,Championship,Cardiff City,Undisclosed,03/01/12
2011-2012,Winter,Enda Stevens,NoneEPLChamp,Shamrock Rovers,Premier,Aston Villa,250000,03/01/12
2011-2012,Winter,Kieran Trippier,Premier,Manchester City,Championship,Burnley,Undisclosed,03/01/12
2011-2012,Winter,Eggert Jonsson,NoneEPLChamp,Heart of Midlothian,Premier,Wolverhampton Wanderers,200000,01/01/12
2011-2012,Winter,Rory Donnelly,NoneEPLChamp,Cliftonville,Premier,Swansea City,100000,01/01/12
2011-2012,Winter,Scott Malone,Premier,Wolverhampton Wanderers,NoneEPLChamp,AFC Bournemouth,150000,01/01/12
2011-2012,Summer,Nouh Dicko,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,12/08/11
2011-2012,Summer,David Jones,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,02/08/11
2011-2012,Summer,Abdoulaya Meite,Premier,West Bromwich Albion,NoneEPLChamp,Dijon,Free,30/06/11
2011-2012,Summer,Jose Moreira,NoneEPLChamp,Benfica,Premier,Swansea City,Undisclosed,08/07/11
2011-2012,Summer,Zoltan Gera,NoneEPLChamp,Unattached,Premier,West Bromwich Albion,Free,02/08/11
2011-2012,Summer,Zdenek Grygera,NoneEPLChamp,Juventus,Premier,Fulham,Free,31/08/11
2011-2012,Summer,Yuri Zhirkov,Premier,Chelsea,NoneEPLChamp,Anzhi Makhachkala,13200000,06/08/11
2011-2012,Summer,Yohan Cabaye,NoneEPLChamp,Lille,Premier,Newcastle United,5000000,07/07/11
2011-2012,Summer,Yakubu Aiyegbeni,Premier,Everton,Premier,Blackburn Rovers,1500000,31/08/11
2011-2012,Summer,Wilson Palacios,Premier,Tottenham Hotspur,Premier,Stoke City,8000000,31/08/11
2011-2012,Summer,Wes Brown,Premier,Manchester United,Premier,Sunderland,1200000,04/07/11
2011-2012,Summer,Wayne Routledge,Premier,Newcastle United,Premier,Swansea City,2000000,04/08/11
2011-2012,Summer,Villyan Bijev,NoneEPLChamp,California Odyssey,Premier,Liverpool,Signed,31/08/11
2011-2012,Summer,Ulises Davila Plascencia,NoneEPLChamp,Guadalajara,Premier,Chelsea,1750000,27/08/11
2011-2012,Summer,Tyrone Mears,Championship,Burnley,Premier,Bolton Wanderers,1500000,01/08/11
2011-2012,Summer,Tommaso Trani,NoneEPLChamp,AC Milan,Premier,QPR,Free,31/08/11
2011-2012,Summer,Tom Ince,Premier,Liverpool,Championship,Blackpool,Free,03/08/11
2011-2012,Summer,Thibaut Courtois,NoneEPLChamp,Racing Genk,Premier,Chelsea,6000000,26/07/11
2011-2012,Summer,Sylvain Marveaux,NoneEPLChamp,Stade Rennes,Premier,Newcastle United,Free,29/06/11
2011-2012,Summer,Stewart Downing,Premier,Aston Villa,Premier,Liverpool,20000000,13/07/11
2011-2012,Summer,Stevie Morrison,NoneEPLChamp,Milwall,Premier,Norwich City,1500000,06/07/11
2011-2012,Summer,Steven Smith,Premier,Norwich City,NoneEPLChamp,Preston North End,Free,12/08/11
2011-2012,Summer,Steven Caldwell,Premier,Wigan Athletic,NoneEPLChamp,Birmingham,Free,01/07/11
2011-2012,Summer,Stefan Savic,NoneEPLChamp,Partizan Belgrade,Premier,Manchester City,6000000,01/07/11
2011-2012,Summer,Stefan Maierhofer,Premier,Wolverhampton Wanderers,NoneEPLChamp,SV Salzburg,1000000,23/08/11
2011-2012,Summer,Steed Malbranque,Premier,Sunderland,NoneEPLChamp,St Ethienne,1500000,03/08/11
2011-2012,Summer,Souleymane Coulibaly,NoneEPLChamp,Siena,Premier,Tottenham Hotspur,2000000,13/07/11
2011-2012,Summer,Sotirios Kyrgiakos,Premier,Liverpool,NoneEPLChamp,VfL Wolfsburg,Free,22/08/11
2011-2012,Summer,Smajl Suljevic,NoneEPLChamp,Dalkurd FF,Premier,Stoke City,Undisclosed,01/07/11
2011-2012,Summer,Slobodan Rajkovic,Premier,Chelsea,NoneEPLChamp,Hamburg SV,2000000,24/08/11
2011-2012,Summer,Simon Vukcevic,NoneEPLChamp,Sporting Lisbon,Premier,Blackburn Rovers,2000000,23/08/11
2011-2012,Summer,Shay Given,Premier,Manchester City,Premier,Aston Villa,3500000,13/07/11
2011-2012,Summer,Shaun Wright-Phillips,Premier,Manchester City,Premier,QPR,6500000,31/08/11
2011-2012,Summer,Shaun Maloney,NoneEPLChamp,Celtic,Premier,Wigan Athletic,1000000,31/08/11
2011-2012,Summer,Shaun MacDonald,Premier,Swansea City,NoneEPLChamp,AFC Bournemouth,150000,25/08/11
2011-2012,Summer,Shane Long,Championship,Reading,Premier,West Bromwich Albion,4500000,09/08/11
2011-2012,Summer,Shaleum Logan,Premier,Manchester City,NoneEPLChamp,Brentford,Free,15/06/11
2011-2012,Summer,Sergio Aguero,NoneEPLChamp,Atletico Madrid,Premier,Manchester City,38000000,28/07/11
2011-2012,Summer,Sebastian Larsson,NoneEPLChamp,Birmingham,Premier,Sunderland,Free,29/06/11
2011-2012,Summer,Sebastian Coates,NoneEPLChamp,Nacional,Premier,Liverpool,7000000,30/08/11
2011-2012,Summer,Scott Parker,Championship,West Ham United,Premier,Tottenham Hotspur,6000000,31/08/11
2011-2012,Summer,Scott Kay,Premier,Manchester City,NoneEPLChamp,Macclesfield Town,Free,17/06/11
2011-2012,Summer,Scott Dann,NoneEPLChamp,Birmingham,Premier,Blackburn Rovers,Undisclosed,31/08/11
2011-2012,Summer,Scott Carson,Premier,West Bromwich Albion,NoneEPLChamp,Bursaspor,2100000,01/07/11
2011-2012,Summer,Sanchez Jose Enrique,Premier,Newcastle United,Premier,Liverpool,6300000,12/08/11
2011-2012,Summer,Samir Nasri,Premier,Arsenal,Premier,Manchester City,22000000,24/08/11
2011-2012,Summer,Sam Sheridan,Premier,Bolton Wanderers,NoneEPLChamp,Stockport County,Free,24/08/11
2011-2012,Summer,Ryan Harley,Premier,Swansea City,NoneEPLChamp,Brighton,Undisclosed,22/08/11
2011-2012,Summer,Ryan Allsopp,Premier,West Bromwich Albion,Championship,Millwall,undisclosed,01/07/11
2011-2012,Summer,Romelu Lukaku,NoneEPLChamp,Anderlecht,Premier,Chelsea,20000000,18/08/11
2011-2012,Summer,Roger Johnson,NoneEPLChamp,Birmingham,Premier,Wolverhampton Wanderers,7000000,11/06/11
2011-2012,Summer,Robert Elliot,NoneEPLChamp,Charlton Athletic,Premier,Newcastle United,100000,30/08/11
2011-2012,Summer,Robbie Weir,Premier,Sunderland,NoneEPLChamp,Tranmere Rovers,Free,23/06/11
2011-2012,Summer,Robbie Keane,Premier,Tottenham Hotspur,NoneEPLChamp,Los Angeles,3000000,15/08/11
2011-2012,Summer,Raul Meireles,Premier,Liverpool,Premier,Chelsea,12000000,31/08/11
2011-2012,Summer,Radosav Petrovic,NoneEPLChamp,Partizan Belgrade,Premier,Blackburn Rovers,Undisclosed,09/08/11
2011-2012,Summer,Radosav Petrovic,NoneEPLChamp,Partizan Belgrade,Premier,Blackburn Rovers,Undisclosed,30/07/11
2011-2012,Summer,Phil Jones,Premier,Blackburn Rovers,Premier,Manchester United,17000000,03/06/11
2011-2012,Summer,Peter Crouch,Premier,Tottenham Hotspur,Premier,Stoke City,10000000,31/08/11
2011-2012,Summer,Per Mertesacker,NoneEPLChamp,Werder Bremen,Premier,Arsenal,Undisclosed,31/08/11
2011-2012,Summer,Paul-Jose Mpoku,Premier,Tottenham Hotspur,NoneEPLChamp,Standard Liege,Undisclosed,19/07/11
2011-2012,Summer,Paul Konchesky,Premier,Liverpool,Championship,Leicester City,1500000,11/07/11
2011-2012,Summer,Patrick McLaughlin,Premier,Newcastle United,NoneEPLChamp,York City,Free,28/06/11
2011-2012,Summer,Park Chu-Young,NoneEPLChamp,AS Monaco,Premier,Arsenal,3000000,30/08/11
2011-2012,Summer,Pajtim Kasami,NoneEPLChamp,Palermo,Premier,Fulham,Undisclosed,25/07/11
2011-2012,Summer,Pablo Ibanez,Premier,West Bromwich Albion,NoneEPLChamp,Birmingham,Undisclosed,31/08/11
2011-2012,Summer,Owen Hargreaves,NoneEPLChamp,Unattached,Premier,Manchester City,Free,31/08/11
2011-2012,Summer,Owain Tudur-Jones,Premier,Norwich City,NoneEPLChamp,Inverness Caledonian Thistle,Free,28/07/11
2011-2012,Summer,Orlando Sa,NoneEPLChamp,Unattached,Premier,Fulham,Free,31/08/11
2011-2012,Summer,Oriol Romeu,NoneEPLChamp,Barcelona,Premier,Chelsea,4350000,04/08/11
2011-2012,Summer,Nouha Dicko,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,12/08/11
2011-2012,Summer,Nikola Kalinic,Premier,Blackburn Rovers,NoneEPLChamp,FC Dnipro Dnipropetrovsk,6000000,11/08/11
2011-2012,Summer,Nigel Reo-Coker,Premier,Aston Villa,Premier,Bolton Wanderers,Free,27/07/11
2011-2012,Summer,Nicholas Ajose,Premier,Manchester United,Championship,Peterborough United,undisclosed,01/07/11
2011-2012,Summer,Milan Jovanovic,Premier,Liverpool,NoneEPLChamp,Anderlecht,Free,05/08/11
2011-2012,Summer,Mikele Leigertwood,Premier,QPR,Championship,Reading,Free,01/06/11
2011-2012,Summer,Mikel Arteta,Premier,Everton,Premier,Arsenal,10000000,31/08/11
2011-2012,Summer,Michel Vorm,NoneEPLChamp,FC Utrecht,Premier,Swansea City,1500000,10/08/11
2011-2012,Summer,Michael Mancienne,Premier,Chelsea,NoneEPLChamp,Hamburg SV,3000000,01/06/11
2011-2012,Summer,Michael Kay,Premier,Sunderland,NoneEPLChamp,Tranmere Rovers,Free,23/06/11
2011-2012,Summer,Mehdi Abeid,NoneEPLChamp,Lens,Premier,Newcastle United,Free,30/06/11
2011-2012,Summer,Matthew Upson,NoneEPLChamp,Unattached,Premier,Stoke City,Free,09/08/11
2011-2012,Summer,Matthew Taylor,Premier,Bolton Wanderers,Championship,West Ham United,1000000,23/07/11
2011-2012,Summer,Marton Fulop,Championship,Ipswich Town,Premier,West Bromwich Albion,Free,06/08/11
2011-2012,Summer,Mark Randall,Premier,Arsenal,NoneEPLChamp,Chesterfield,Free,30/06/11
2011-2012,Summer,Marek Cech,Premier,West Bromwich Albion,NoneEPLChamp,Trabzonspor,1000000,31/08/11
2011-2012,Summer,Marcel Gecov,NoneEPLChamp,Slovan Liberec,Premier,Fulham,700000,20/07/11
2011-2012,Summer,Luke Young,Premier,Aston Villa,Premier,QPR,2500000,27/08/11
2011-2012,Summer,Luke Dobie,Premier,Everton,Championship,Middlesbrough,Free,01/06/11
2011-2012,Summer,Luke Daley,Premier,Norwich City,NoneEPLChamp,Plymouth Argyle,Free,01/08/11
2011-2012,Summer,Leroy Lita,Championship,Middlesbrough,Premier,Swansea City,1750000,03/08/11
2011-2012,Summer,Leon Clarke,Premier,QPR,NoneEPLChamp,Swindon Town,Free,19/08/11
2011-2012,Summer,Kieron Courtney Dyer,Championship,West Ham United,Premier,QPR,Free,10/07/11
2011-2012,Summer,Kieran Agard,Premier,Everton,NoneEPLChamp,Yeovil Town,Free,13/06/11
2011-2012,Summer,Kevin Nolan,Premier,Newcastle United,Championship,West Ham United,3500000,08/06/11
2011-2012,Summer,Keiren Westwood,Championship,Coventry City,Premier,Sunderland,Free,30/06/11
2011-2012,Summer,Kaspars Gorkss,Premier,QPR,Championship,Reading,350000,24/08/11
2011-2012,Summer,Kagisho  Dikgacoi,Premier,Fulham,Championship,Crystal Palace,600000,04/07/11
2011-2012,Summer,Juan Mata,NoneEPLChamp,Valencia,Premier,Chelsea,23500000,24/08/11
