season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2013-2014,Summer,"Stephen McPhail, ",Premier,Cardiff City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Adam Phillip ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Amine Aflane ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Archange Nkumu ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Aziz Deen-Conteh ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Ben Gordon ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Benayoun ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Conor Clifford ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Florent Malouda ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Hilario ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,James Ashton ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Nortei,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Paulo Ferreira ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Rohan Ince ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Ross Turnbull.,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Samuel Bangura ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Tom Howard ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Yossi ,Premier,Chelsea,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jan Mucha.,Premier,Everton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Johan Hammer, ",Premier,Everton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Sam Kelly, ",Premier,Everton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Thomas Hitzlsperger, ",Premier,Everton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Alex Smith, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Chris Baird, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Corey Gamiero, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Csaba Somogyi,Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Giorgos Karagounis, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"James Musa, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Mahamadou Diarra, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Mark Schwarzer, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Mladen Petric, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Richard Peniket,",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Simon Davies, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Thomas Donegan, ",Premier,Fulham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jamie Devitt, ",Premier,Hull City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jay Simpson.,Premier,Hull City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Paul McKenna, ",Premier,Hull City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Seyi Olofinjana, ",Premier,Hull City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jamie Stephens,Premier,Liverpool,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Tyrell Belford,Premier,Liverpool,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Roque Santa Cruz,Premier,Manchester City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Freddie Veseli.,Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Gyliano Van Velzen, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"John Cofie, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Luke Giverin,",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Luke Hendrie, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Luke McCullough, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Michele Fornasier, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Reece Brown, ",Premier,Manchester United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Steve Harper,Premier,Newcastle United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Yven Moyo,Premier,Newcastle United,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Korey Smith, ",Premier,Norwich City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Lee Camp, ",Premier,Norwich City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Ramil Sheriff, ",Premier,Norwich City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Simeon Jackson, ",Premier,Norwich City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Alberto Seidi.,Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Ben Reeves, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Dan Seabourne, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Danny Butterfield, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Frazer Richardson, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Ryan Dickson, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Sam Hoskins,",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Tommy Forecast, ",Premier,Southampton,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Andrew Musunga, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Carlo Nash, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Dean Whitehead,Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"George Rigg, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jadan Hall, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jermaine Pennant, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Mamady Sidibe, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Matthew Gledhill, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Matthew Lund, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Matthew Upson, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Michael Clarkson, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Rory Delap, ",Premier,Stoke City,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Adam Reed, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Anthony Callaghan, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Ben Wilson.,Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Matt Kilgallon, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Ryan Noble, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Titus Bramble, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Wade Joyce, ",Premier,Sunderland,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"David Bentley, ",NoneEPLChamp,Tottenham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jack Munns, ",NoneEPLChamp,Tottenham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jake Nicholson.,NoneEPLChamp,Tottenham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"John Bostock, ",NoneEPLChamp,Tottenham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"William Gallas, ",NoneEPLChamp,Tottenham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Gonzalo Jara Reyes, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jerome Thomas,Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Marc-Antoine Fortune, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Romaine Sawyers, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Zoltan Gera, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Carlton Cole, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Eoin Wearen..,NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Gary ONeil, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jack Powell, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,"Jami Rafati, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Summer,Jean Makoun,Premier,Aston Villa,NoneEPLChamp,Rennes,Free,01/07/13
2013-2014,Summer,Stiliyan Petrov,Premier,Aston Villa,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Heidar Helguson,Premier,Cardiff City,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Phil Neville,Premier,Everton,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Jamie Carragher,Premier,Liverpool,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Paul Scholes,Premier,Manchester United,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Michael Owen,Premier,Stoke City,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Summer,Bastien Hery,Championship,Sheffield Wednesday,NoneEPLChamp,Rochdale,Free,01/07/13
2013-2014,Summer,Denilson,Premier,Arsenal,NoneEPLChamp,Sao Paulo,Released,01/07/13
2013-2014,Summer,Andy Dawson,Premier,Hull City,NoneEPLChamp,Scunthorpe,Free,01/07/13
2013-2014,Summer,Sean McGinty,Premier,Manchester United,NoneEPLChamp,Sheffield United,Free,01/07/13
2013-2014,Summer,Stephen McGinn,Championship,Watford,NoneEPLChamp,Sheffield United,Free,01/07/13
2013-2014,Summer,Jacques Maghoma,NoneEPLChamp,Burton Albion,Championship,Sheffield Wednesday,Free,01/07/13
2013-2014,Summer,Dejan Lovren,NoneEPLChamp,Lyon,Premier,Southampton,10000000,01/07/13
2013-2014,Summer,Alex Grant,NoneEPLChamp,Portsmouth,Premier,Stoke City,Free,01/07/13
2013-2014,Summer,Erik Pieters,NoneEPLChamp,PSV Eindhoven,Premier,Stoke City,3000000,01/07/13
2013-2014,Summer,Duncan Whatmore,NoneEPLChamp,Altingham,Premier,Sunderland,Undisclosed,01/07/13
2013-2014,Summer,Cabral,NoneEPLChamp,FC Basel,Premier,Sunderland,Free,01/07/13
2013-2014,Summer,David Moberg Karlsson,NoneEPLChamp,Gothenburg,Premier,Sunderland,1500000,01/07/13
2013-2014,Summer,Mobido Diakite,NoneEPLChamp,Lazio,Premier,Sunderland,Free,01/07/13
2013-2014,Summer,El Hadji Ba,NoneEPLChamp,Le Harve,Premier,Sunderland,380000,01/07/13
2013-2014,Summer,Valentin Roberge,NoneEPLChamp,Maritimo,Premier,Sunderland,Free,01/07/13
2013-2014,Summer,Jordi Amat,NoneEPLChamp,Espanyol,Premier,Swansea City,2500000,01/07/13
2013-2014,Summer,Jose Ruiz Herrera Canas,NoneEPLChamp,Real Betis,Premier,Swansea City,Free,01/07/13
2013-2014,Summer,Nathan Byrne,NoneEPLChamp,Tottenham,NoneEPLChamp,Swindon,Free,01/07/13
2013-2014,Summer,Jack Barthram,Premier,Tottenham Hotspur,NoneEPLChamp,Swindon Town,Released,01/07/13
2013-2014,Summer,Omar Elabdellaoui,Premier,Manchester City,NoneEPLChamp,TSV Eintracht Braunschweig,Signed,01/07/13
2013-2014,Summer,Andrew Carrol,Premier,Liverpool,NoneEPLChamp,West Ham,15500000,01/07/13
2013-2014,Summer,Danny Whitehead,NoneEPLChamp,Stockport County,NoneEPLChamp,West Ham,Undisclosed,01/07/13
2013-2014,Summer,Adrian San Miguel del Castillo,NoneEPLChamp,Real Betis,Premier,West Ham United,Free,01/07/13
2013-2014,Summer,Razvan Dinca Rat,NoneEPLChamp,Shakhtar Donetsk,Premier,West Ham United,Free,01/07/13
2013-2014,Summer,Stephen Crainey,Championship,Blackpool,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Summer,Chris McCann,Championship,Burnley,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Summer,Thomas Rogne,NoneEPLChamp,Celtic,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Summer,Sam Hoskins,Premier,Southampton,Championship,Yeovil Town,Free,01/07/13
2013-2014,Summer,Joel Grant,NoneEPLChamp,Wycombe Wanderers,Championship,Yeovil Town,Free,01/07/13
2013-2014,Summer,Andrei Arshavin,Premier,Arsenal,NoneEPLChamp,Zenit St Petersburg,Released,01/07/13
2013-2014,Summer,Yannick Sagbo,NoneEPLChamp,Monaco,Premier,Hull City,1500000,24/07/13
