season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2010-2011,Summer,Martin Waghorn,Premier,Sunderland,Championship,Leicester City,3000000,31/08/10
2010-2011,Summer,Jean Beausejour,NoneEPLChamp,America,NoneEPLChamp,Birmingham,4000000,31/08/10
2010-2011,Summer,Rafael Van Der Vaart,NoneEPLChamp,Real Madrid,Premier,Tottenham Hotspur,8000000,31/08/10
2010-2011,Summer,Asamoah Gyan,NoneEPLChamp,Stade Rennes,Premier,Sunderland,13200000,31/08/10
2010-2011,Summer,Robinho,Premier,Manchester City,NoneEPLChamp,AC Milan,22000000,31/08/10
2010-2011,Summer,Salif Diao,NoneEPLChamp,Unattached,Premier,Stoke City,Free,31/08/10
2010-2011,Summer,Suso,NoneEPLChamp,Cadiz,Premier,Liverpool,Signed,31/08/10
2010-2011,Summer,Alexander Kacaniklic,Premier,Liverpool,Premier,Fulham,Swap,31/08/10
2010-2011,Summer,Lauri Dalla Valle,Premier,Liverpool,Premier,Fulham,Swap,31/08/10
2010-2011,Summer,Paul Konchesky,Premier,Fulham,Premier,Liverpool,Swap,31/08/10
2010-2011,Summer,David Carney,NoneEPLChamp,Twente Enschede,Premier,Blackpool,Undisclosed,31/08/10
2010-2011,Summer,Adam Clayton,Premier,Manchester City,Championship,Leeds United,Undisclosed,31/08/10
2010-2011,Summer,Javier Macherano,Premier,Liverpool ,NoneEPLChamp,Barcelona,17300000,30/08/10
2010-2011,Summer,Fabio Daprela,NoneEPLChamp,West Ham,NoneEPLChamp,Brescia,Free,30/08/10
2010-2011,Summer,Paul Scharner,NoneEPLChamp,Unattached,Premier,West Bromwich Albion,Free,30/08/10
2010-2011,Summer,Raul Meireles,NoneEPLChamp,FC Porto,Premier,Liverpool,11500000,29/08/10
2010-2011,Summer,Carlos Salcido,NoneEPLChamp,PSV Eindhoven,Premier,Fulham,1600000,27/08/10
2010-2011,Summer,Marc-Antoine Fortune,NoneEPLChamp,Celtic,Premier,West Bromwich Albion,2500000,27/08/10
2010-2011,Summer,Ismael Tiote,NoneEPLChamp,Twente Enschede,Premier,Newcastle United,3500000,27/08/10
2010-2011,Summer,Benjani Mwaruwari,NoneEPLChamp,Unattached,Premier,Blackburn Rovers,Free,27/08/10
2010-2011,Summer,Sebastien Squillaci,NoneEPLChamp,Sevilla FC,Premier,Arsenal,4000000,26/08/10
2010-2011,Summer,Kristian Nemeth,Premier,Liverpool,NoneEPLChamp,Olympiakos,1500000,25/08/10
2010-2011,Summer,Rafik Halliche,NoneEPLChamp,Benfica,Premier,Fulham,1300000,24/08/10
2010-2011,Summer,Allesandro Diamanti,Premier,West Ham United,NoneEPLChamp,Brescia,1800000,24/08/10
2010-2011,Summer,Jason Scotland,Premier,Wigan Athletic,Championship,Ipswich Town,750000,23/08/10
2010-2011,Summer,Diego Cavalieri,Premier,Liverpool ,NoneEPLChamp,Casena,1000000,23/08/10
2010-2011,Summer,Steven Caldwell,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,23/08/10
2010-2011,Summer,William Gallas,NoneEPLChamp,Unattached,Premier,Tottenham Hotspur,Free,22/08/10
2010-2011,Summer,Peter Osaze Odemwingie,NoneEPLChamp,Lokomotiv Moscow,Premier,West Bromwich Albion,500000,20/08/10
2010-2011,Summer,Somen Tchoyi,NoneEPLChamp,Salzburg,Premier,West Bromwich Albion,2500000,20/08/10
2010-2011,Summer,Jay Simpson,Premier,Arsenal,Championship,Hull City,1200000,19/08/10
2010-2011,Summer,Jonathan Walters,Championship,Ipswich Town,Premier,Stoke City,2750000,18/08/10
2010-2011,Summer,Moussa Dembele,NoneEPLChamp,Az Alkmaar,Premier,Fulham,5000000,18/08/10
2010-2011,Summer,Stephen Ireland,Premier,Manchester City,Premier,Aston Villa,8000000,18/08/10
2010-2011,Summer,James Milner,Premier,Aston Villa ,Premier,Manchester City,26000000,18/08/10
2010-2011,Summer,Dorian Dervite,Premier,Tottenham Hotspur,NoneEPLChamp,Villarreal,Free,18/08/10
2010-2011,Summer,Dekel Keinan,NoneEPLChamp,Unattached,Premier,Blackpool,Free,18/08/10
2010-2011,Summer,Brad Jones,NoneEPLChamp,Middlesborough,Premier,Liverpool ,2300000,17/08/10
2010-2011,Summer,Jake Cassidy,NoneEPLChamp,Airbus UK Broughtan,NoneEPLChamp,Wolves,Undisclosed,17/08/10
2010-2011,Summer,Chris Basham,Premier,Bolton Wanderers,Premier,Blackpool,500000,13/08/10
2010-2011,Summer,James Beattie,Premier,Stoke City,NoneEPLChamp,Glasgow Rangers,1500000,13/08/10
2010-2011,Summer,Ramires,NoneEPLChamp,Benfica,Premier,Chelsea,18300000,13/08/10
