Season,Player_Name,League_Moving_From,Club_Moving_From,League_Moving_To,Club_Moving_To,Fee,Date
2013-2014,Jerome Thomas,Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Marc-Antoine Fortune, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Romaine Sawyers, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Zoltan Gera, ",Premier,West Bromwich Albion,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Carlton Cole, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Eoin Wearen..,NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Gary ONeil, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Jack Powell, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,"Jami Rafati, ",NoneEPLChamp,West Ham,NoneEPLChamp,Released,Released,01/07/13
2013-2014,Jean Makoun,Premier,Aston Villa,NoneEPLChamp,Rennes,Free,01/07/13
2013-2014,Stiliyan Petrov,Premier,Aston Villa,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Heidar Helguson,Premier,Cardiff City,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Phil Neville,Premier,Everton,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Jamie Carragher,Premier,Liverpool,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Paul Scholes,Premier,Manchester United,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Michael Owen,Premier,Stoke City,NoneEPLChamp,Retired,Retired,01/07/13
2013-2014,Bastien Hery,Championship,Sheffield Wednesday,NoneEPLChamp,Rochdale,Free,01/07/13
2013-2014,Denilson,Premier,Arsenal,NoneEPLChamp,Sao Paulo,Released,01/07/13
2013-2014,Andy Dawson,Premier,Hull City,NoneEPLChamp,Scunthorpe,Free,01/07/13
2013-2014,Sean McGinty,Premier,Manchester United,NoneEPLChamp,Sheffield United,Free,01/07/13
2013-2014,Stephen McGinn,Championship,Watford,NoneEPLChamp,Sheffield United,Free,01/07/13
2013-2014,Jacques Maghoma,NoneEPLChamp,Burton Albion,Championship,Sheffield Wednesday,Free,01/07/13
2013-2014,Dejan Lovren,NoneEPLChamp,Lyon,Premier,Southampton,10000000,01/07/13
2013-2014,Alex Grant,NoneEPLChamp,Portsmouth,Premier,Stoke City,Free,01/07/13
2013-2014,Erik Pieters,NoneEPLChamp,PSV Eindhoven,Premier,Stoke City,3000000,01/07/13
2013-2014,Duncan Whatmore,NoneEPLChamp,Altingham,Premier,Sunderland,Undisclosed,01/07/13
2013-2014,Cabral,NoneEPLChamp,FC Basel,Premier,Sunderland,Free,01/07/13
2013-2014,David Moberg Karlsson,NoneEPLChamp,Gothenburg,Premier,Sunderland,1500000,01/07/13
2013-2014,Mobido Diakite,NoneEPLChamp,Lazio,Premier,Sunderland,Free,01/07/13
2013-2014,El Hadji Ba,NoneEPLChamp,Le Harve,Premier,Sunderland,380000,01/07/13
2013-2014,Valentin Roberge,NoneEPLChamp,Maritimo,Premier,Sunderland,Free,01/07/13
2013-2014,Jordi Amat,NoneEPLChamp,Espanyol,Premier,Swansea City,2500000,01/07/13
2013-2014,Jose Ruiz Herrera Canas,NoneEPLChamp,Real Betis,Premier,Swansea City,Free,01/07/13
2013-2014,Nathan Byrne,NoneEPLChamp,Tottenham,NoneEPLChamp,Swindon,Free,01/07/13
2013-2014,Jack Barthram,Premier,Tottenham Hotspur,NoneEPLChamp,Swindon Town,Released,01/07/13
2013-2014,Omar Elabdellaoui,Premier,Manchester City,NoneEPLChamp,TSV Eintracht Braunschweig,Signed,01/07/13
2013-2014,Andrew Carrol,Premier,Liverpool,NoneEPLChamp,West Ham,15500000,01/07/13
2013-2014,Danny Whitehead,NoneEPLChamp,Stockport County,NoneEPLChamp,West Ham,Undisclosed,01/07/13
2013-2014,Adrian San Miguel del Castillo,NoneEPLChamp,Real Betis,Premier,West Ham United,Free,01/07/13
2013-2014,Razvan Dinca Rat,NoneEPLChamp,Shakhtar Donetsk,Premier,West Ham United,Free,01/07/13
2013-2014,Stephen Crainey,Championship,Blackpool,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Chris McCann,Championship,Burnley,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Thomas Rogne,NoneEPLChamp,Celtic,Championship,Wigan Athletic,Free,01/07/13
2013-2014,Sam Hoskins,Premier,Southampton,Championship,Yeovil Town,Free,01/07/13
2013-2014,Joel Grant,NoneEPLChamp,Wycombe Wanderers,Championship,Yeovil Town,Free,01/07/13
2013-2014,Andrei Arshavin,Premier,Arsenal,NoneEPLChamp,Zenit St Petersburg,Released,01/07/13
2013-2014,Yannick Sagbo,NoneEPLChamp,Monaco,Premier,Hull City,1500000,24/07/13
